Duration,Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type,lat,lon
4954,20/09/2010 16:56,20/09/2010 18:18,31200,Massachusetts Ave & Dupont Circle NW,31200,Massachusetts Ave & Dupont Circle NW,W00322,Casual,38.9100997,-77.0444
1283,20/09/2010 16:57,20/09/2010 17:18,31603,1st & M St NE,31600,5th & K St NW,W00829,Member,38.9056997,-77.0056
385,20/09/2010 16:57,20/09/2010 17:04,31101,14th & V St NW,31105,14th & Harvard St NW,W00814,Member,38.9175997,-77.0321
635,20/09/2010 16:57,20/09/2010 17:08,31200,Massachusetts Ave & Dupont Circle NW,31111,10th & U St NW,W00958,Member,38.9100997,-77.0444
4839,20/09/2010 16:58,20/09/2010 18:18,31200,Massachusetts Ave & Dupont Circle NW,31200,Massachusetts Ave & Dupont Circle NW,W00993,Casual,38.9100997,-77.0444
466,20/09/2010 17:01,20/09/2010 17:09,31200,Massachusetts Ave & Dupont Circle NW,31201,15th & P St NW,W00824,Member,38.9100997,-77.0444
892,20/09/2010 17:16,20/09/2010 17:31,31201,15th & P St NW,31600,5th & K St NW,W01113,Casual,38.9098497,-77.034438
451,20/09/2010 17:16,20/09/2010 17:24,31111,10th & U St NW,31201,15th & P St NW,W00850,Member,38.9171997,-77.0259
315,20/09/2010 17:17,20/09/2010 17:23,31109,7th & T St NW,31111,10th & U St NW,W00569,Member,38.9154997,-77.0222
1796,20/09/2010 17:31,20/09/2010 18:01,31208,M St & New Jersey Ave SE,31204,20th & E St NW,W00428,Member,38.8762997,-77.0037
474,20/09/2010 17:33,20/09/2010 17:41,31111,10th & U St NW,31201,15th & P St NW,W01050,Member,38.9171997,-77.0259
1037,20/09/2010 17:35,20/09/2010 17:53,31602,Park Rd & Holmead Pl NW,31400,Georgia & New Hampshire Ave NW,W00903,Member,38.9308232,-77.0315137
729,20/09/2010 17:38,20/09/2010 17:50,31600,5th & K St NW,31202,14th & R St NW,W00829,Member,38.9025842,-77.0556545
466,20/09/2010 17:41,20/09/2010 17:49,31100,19th St & Pennsylvania Ave NW,31201,15th & P St NW,W00968,Member,38.9002997,-77.0429
1440,20/09/2010 17:41,20/09/2010 18:05,31104,Adams Mill & Columbia Rd NW,31205,21st & I St NW,?(0x000000007C120F6A),Member,38.9230444,-77.0425553
507,20/09/2010 17:44,20/09/2010 17:53,31108,4th & M St SW,31208,M St & New Jersey Ave SE,W01007,Member,38.8766997,-77.0178
1811,20/09/2010 17:46,20/09/2010 18:16,31203,14th & Rhode Island Ave NW,31203,14th & Rhode Island Ave NW,W00563,Member,38.9085997,-77.0323
959,20/09/2010 17:47,20/09/2010 18:03,31208,M St & New Jersey Ave SE,31208,M St & New Jersey Ave SE,W00826,Member,38.8762997,-77.0037
1576,20/09/2010 17:50,20/09/2010 18:17,31603,1st & M St NE,31105,14th & Harvard St NW,W00340,Member,38.9056997,-77.0056
462,20/09/2010 17:51,20/09/2010 17:58,31200,Massachusetts Ave & Dupont Circle NW,31100,19th St & Pennsylvania Ave NW,W00842,Member,38.9100997,-77.0444
413,20/09/2010 17:51,20/09/2010 17:58,31108,4th & M St SW,31208,M St & New Jersey Ave SE,W01024,Member,38.8766997,-77.0178
626,20/09/2010 17:52,20/09/2010 18:03,31201,15th & P St NW,31111,10th & U St NW,W00968,Member,38.9098497,-77.034438
595,20/09/2010 17:54,20/09/2010 18:04,31111,10th & U St NW,31600,5th & K St NW,W00958,Member,38.9171997,-77.0259
1382,20/09/2010 17:55,20/09/2010 18:18,31204,20th & E St NW,31600,5th & K St NW,W01058,Member,38.8963209,-77.045018
220,20/09/2010 17:55,20/09/2010 17:59,31106,Calvert & Biltmore St NW,31104,Adams Mill & Columbia Rd NW,W00830,Member,38.9232108,-77.0476393
1159,20/09/2010 17:56,20/09/2010 18:15,31600,5th & K St NW,31200,Massachusetts Ave & Dupont Circle NW,W01113,Casual,38.9025842,-77.0556545
1241,20/09/2010 17:56,20/09/2010 18:17,31602,Park Rd & Holmead Pl NW,31100,19th St & Pennsylvania Ave NW,W00344,Member,38.9308232,-77.0315137
375,20/09/2010 17:57,20/09/2010 18:03,31109,7th & T St NW,31207,Georgia Ave and Fairmont St NW,W00196,Member,38.9154997,-77.0222
940,20/09/2010 17:59,20/09/2010 18:14,31202,14th & R St NW,31202,14th & R St NW,W00512,Member,38.9126963,-77.03167
419,20/09/2010 18:01,20/09/2010 18:08,31009,27th & Crystal Dr,31004,Aurora Hills Community Ctr/18th & Hayes St,W00821,Member,38.8484407,-77.051516
893,20/09/2010 18:01,20/09/2010 18:16,31100,19th St & Pennsylvania Ave NW,31600,5th & K St NW,W00377,Member,38.9002997,-77.0429
142,20/09/2010 18:03,20/09/2010 18:06,31201,15th & P St NW,31203,14th & Rhode Island Ave NW,W01050,Member,38.9098497,-77.034438
1879,20/09/2010 18:04,20/09/2010 18:35,31201,15th & P St NW,31207,Georgia Ave and Fairmont St NW,W00850,Member,38.9098497,-77.034438
2060,20/09/2010 18:05,20/09/2010 18:39,31103,16th & Harvard St NW,31103,16th & Harvard St NW,W00976,Member,38.9261399,-77.0366677
2550,20/09/2010 18:09,20/09/2010 18:51,31205,21st & I St NW,31205,21st & I St NW,W00747,Member,38.9007997,-77.047
945,20/09/2010 18:09,20/09/2010 18:25,31205,21st & I St NW,31202,14th & R St NW,W00142,Member,38.9007997,-77.047
1864,20/09/2010 18:12,20/09/2010 18:43,31203,14th & Rhode Island Ave NW,31111,10th & U St NW,W01050,Member,38.9085997,-77.0323
415,20/09/2010 18:14,20/09/2010 18:20,31200,Massachusetts Ave & Dupont Circle NW,31104,Adams Mill & Columbia Rd NW,W00796,Member,38.9100997,-77.0444
534,20/09/2010 18:14,20/09/2010 18:23,31201,15th & P St NW,31111,10th & U St NW,W00777,Member,38.9098497,-77.034438
1864,20/09/2010 18:15,20/09/2010 18:47,31201,15th & P St NW,31209,1st & N St  SE,W00824,Member,38.9098497,-77.034438
1834,20/09/2010 18:16,20/09/2010 18:46,31201,15th & P St NW,31209,1st & N St  SE,W00642,Member,38.9098497,-77.034438
500,20/09/2010 18:17,20/09/2010 18:25,31201,15th & P St NW,31110,20th St & Florida Ave NW,W00745,Member,38.9098497,-77.034438
1640,20/09/2010 18:18,20/09/2010 18:46,31205,21st & I St NW,31006,S Joyce & Army Navy Dr,?(0x000000007C120F6A),Member,38.9007997,-77.047
868,20/09/2010 18:20,20/09/2010 18:35,31202,14th & R St NW,31111,10th & U St NW,W00614,Member,38.9126963,-77.03167
400,20/09/2010 18:20,20/09/2010 18:27,31106,Calvert & Biltmore St NW,31103,16th & Harvard St NW,W00795,Member,38.9232108,-77.0476393
245,20/09/2010 18:21,20/09/2010 18:25,31203,14th & Rhode Island Ave NW,31201,15th & P St NW,W00289,Member,38.9085997,-77.0323
583,20/09/2010 18:25,20/09/2010 18:35,31200,Massachusetts Ave & Dupont Circle NW,31101,14th & V St NW,W00322,Member,38.9100997,-77.0444
199,20/09/2010 18:28,20/09/2010 18:31,31011,23rd & Crystal Dr,31009,27th & Crystal Dr,W00735,Member,38.8532997,-77.0498
194,20/09/2010 18:28,20/09/2010 18:32,31011,23rd & Crystal Dr,31009,27th & Crystal Dr,W00764,Member,38.8532997,-77.0498
1455,20/09/2010 18:29,20/09/2010 18:53,31600,5th & K St NW,31111,10th & U St NW,W00958,Member,38.9025842,-77.0556545
638,20/09/2010 18:31,20/09/2010 18:41,31100,19th St & Pennsylvania Ave NW,31110,20th St & Florida Ave NW,W00344,Member,38.9002997,-77.0429
259,20/09/2010 18:34,20/09/2010 18:38,31104,Adams Mill & Columbia Rd NW,31110,20th St & Florida Ave NW,W00796,Member,38.9230444,-77.0425553
521,20/09/2010 18:35,20/09/2010 18:43,31600,5th & K St NW,31201,15th & P St NW,W00930,Member,38.9025842,-77.0556545
169,20/09/2010 18:40,20/09/2010 18:43,31203,14th & Rhode Island Ave NW,31202,14th & R St NW,W00563,Member,38.9085997,-77.0323
7554,20/09/2010 18:42,20/09/2010 20:47,31105,14th & Harvard St NW,31105,14th & Harvard St NW,W01059,Casual,38.9267997,-77.0322
7512,20/09/2010 18:42,20/09/2010 20:47,31105,14th & Harvard St NW,31105,14th & Harvard St NW,W00804,Casual,38.9267997,-77.0322
793,20/09/2010 18:42,20/09/2010 18:55,31200,Massachusetts Ave & Dupont Circle NW,31111,10th & U St NW,W00993,Member,38.9100997,-77.0444
132,20/09/2010 18:43,20/09/2010 18:45,31201,15th & P St NW,31203,14th & Rhode Island Ave NW,W00289,Member,38.9098497,-77.034438
235,20/09/2010 18:44,20/09/2010 18:48,31201,15th & P St NW,31202,14th & R St NW,W00930,Member,38.9098497,-77.034438
375,20/09/2010 18:48,20/09/2010 18:54,31011,23rd & Crystal Dr,31003,15th & Crystal Dr,W01016,Member,38.8532997,-77.0498
768,20/09/2010 18:48,20/09/2010 19:01,31108,4th & M St SW,31208,M St & New Jersey Ave SE,W00872,Member,38.8766997,-77.0178
849,20/09/2010 18:51,20/09/2010 19:05,31001,18th & Eads St.,31001,18th & Eads St.,W00758,Member,38.8572578,-77.0533223
509,20/09/2010 18:52,20/09/2010 19:01,31110,20th St & Florida Ave NW,31104,Adams Mill & Columbia Rd NW,W00344,Member,38.9153997,-77.0446
486,20/09/2010 18:52,20/09/2010 19:00,31110,20th St & Florida Ave NW,31104,Adams Mill & Columbia Rd NW,W00796,Member,38.9153997,-77.0446
692,20/09/2010 18:52,20/09/2010 19:04,31602,Park Rd & Holmead Pl NW,31201,15th & P St NW,W00472,Member,38.9308232,-77.0315137
668,20/09/2010 18:52,20/09/2010 19:04,31100,19th St & Pennsylvania Ave NW,31200,Massachusetts Ave & Dupont Circle NW,W00842,Member,38.9002997,-77.0429
550,20/09/2010 18:56,20/09/2010 19:05,31600,5th & K St NW,31201,15th & P St NW,W00605,Member,38.9025842,-77.0556545
952,20/09/2010 18:59,20/09/2010 19:15,31200,Massachusetts Ave & Dupont Circle NW,31600,5th & K St NW,W01113,Casual,38.9100997,-77.0444
790,20/09/2010 19:02,20/09/2010 19:15,31101,14th & V St NW,31200,Massachusetts Ave & Dupont Circle NW,W00772,Member,38.9175997,-77.0321
1107,20/09/2010 19:04,20/09/2010 19:22,31110,20th St & Florida Ave NW,31110,20th St & Florida Ave NW,W00745,Member,38.9153997,-77.0446
302,20/09/2010 19:04,20/09/2010 19:09,31202,14th & R St NW,31203,14th & Rhode Island Ave NW,W00563,Member,38.9126963,-77.03167
1072,20/09/2010 19:06,20/09/2010 19:24,31603,1st & M St NE,31502,John McCormack Dr & Michigan Ave NE,W00803,Member,38.9056997,-77.0056
382,20/09/2010 19:07,20/09/2010 19:14,31200,Massachusetts Ave & Dupont Circle NW,31201,15th & P St NW,W00842,Member,38.9100997,-77.0444
1136,20/09/2010 19:14,20/09/2010 19:33,31401,14th St & Spring Rd NW,31201,15th & P St NW,W00318,Casual,38.9374997,-77.0328
1545,20/09/2010 19:14,20/09/2010 19:40,31207,Georgia Ave and Fairmont St NW,31104,Adams Mill & Columbia Rd NW,W00960,Member,38.9248997,-77.0222
1189,20/09/2010 19:17,20/09/2010 19:36,31100,19th St & Pennsylvania Ave NW,31111,10th & U St NW,W00159,Member,38.9002997,-77.0429
1389,20/09/2010 19:18,20/09/2010 19:41,31603,1st & M St NE,31107,Lamont & Mt Pleasant NW,W00928,Member,38.9056997,-77.0056
146,20/09/2010 19:18,20/09/2010 19:20,31104,Adams Mill & Columbia Rd NW,31106,Calvert & Biltmore St NW,W00796,Member,38.9230444,-77.0425553
1733,20/09/2010 19:22,20/09/2010 19:50,31200,Massachusetts Ave & Dupont Circle NW,31104,Adams Mill & Columbia Rd NW,W00772,Member,38.9100997,-77.0444
304,20/09/2010 19:22,20/09/2010 19:27,31201,15th & P St NW,31201,15th & P St NW,W00842,Member,38.9098497,-77.034438
2325,20/09/2010 19:23,20/09/2010 20:02,31106,Calvert & Biltmore St NW,31200,Massachusetts Ave & Dupont Circle NW,W00867,Casual,38.9232108,-77.0476393
2314,20/09/2010 19:23,20/09/2010 20:02,31106,Calvert & Biltmore St NW,31200,Massachusetts Ave & Dupont Circle NW,W00380,Casual,38.9232108,-77.0476393
961,20/09/2010 19:25,20/09/2010 19:41,31205,21st & I St NW,31200,Massachusetts Ave & Dupont Circle NW,W01008,Casual,38.9007997,-77.047
668,20/09/2010 19:26,20/09/2010 19:37,31201,15th & P St NW,31111,10th & U St NW,W00472,Member,38.9098497,-77.034438
2467,20/09/2010 19:26,20/09/2010 20:07,31000,Eads St & 15th St S,31007,Crystal City Metro / 18th & Bell St,W00819,Casual,38.8589788,-77.0532323
827,20/09/2010 19:27,20/09/2010 19:41,31205,21st & I St NW,31200,Massachusetts Ave & Dupont Circle NW,W00747,Casual,38.9007997,-77.047
487,20/09/2010 19:28,20/09/2010 19:36,31208,M St & New Jersey Ave SE,31108,4th & M St SW,W01024,Member,38.8762997,-77.0037
1041,20/09/2010 19:29,20/09/2010 19:46,31100,19th St & Pennsylvania Ave NW,31107,Lamont & Mt Pleasant NW,W00194,Member,38.9002997,-77.0429
4532,20/09/2010 19:43,20/09/2010 20:58,31101,14th & V St NW,31203,14th & Rhode Island Ave NW,W00322,Casual,38.9175997,-77.0321
1427,20/09/2010 19:44,20/09/2010 20:08,31603,1st & M St NE,31603,1st & M St NE,W00873,Member,38.9056997,-77.0056
68,20/09/2010 19:44,20/09/2010 19:45,31111,10th & U St NW,31111,10th & U St NW,W01050,Member,38.9171997,-77.0259
850,20/09/2010 19:46,20/09/2010 20:00,31111,10th & U St NW,31110,20th St & Florida Ave NW,W00159,Member,38.9171997,-77.0259
